step,virtual_cumulative_ns,real_cumulative_ns,virtual_delta_ns,real_delta_ns,driver_wall_delta_s
422,42200000000,42199993900,100000000,100012200,0.133030167
423,42300000000,42338629600,100000000,138635700,0.173176584
424,42400000000,42537274400,100000000,198644800,0.263457417
425,42500000000,42666192700,100000000,128918300,0.183226334
426,42600000000,42739176200,100000000,72983500,0.110768417
427,42700000000,42909096600,100000000,169920400,0.204331208
428,42800000000,43053163700,100000000,144067100,0.186609542
429,42900000000,43209204700,100000000,156041000,0.215268791
430,43000000000,43377943500,100000000,168738800,0.210745833
431,43100000000,43750051500,100000000,372108000,0.428819166
432,43200000000,43874068000,100000000,124016500,0.157950333
433,43300000000,44000424900,100000000,126356900,0.161165791
434,43400000000,44111069300,100000000,110644400,0.154736250
435,43500000000,44229726300,100000000,118657000,0.158480750
436,43600000000,44357056500,100000000,127330200,0.178946042
437,43700000000,44425752200,100000000,68695700,0.101296417
438,43800000000,44494151200,100000000,68399000,0.100530083
439,43900000000,44556374300,100000000,62223100,0.096364042
440,44000000000,44620063200,100000000,63688900,0.095930958
441,44100000000,44689093300,100000000,69030100,0.101171625
442,44200000000,44753664300,100000000,64571000,0.096847291
443,44300000000,44816072100,100000000,62407800,0.094557667
444,44400000000,44880580000,100000000,64507900,0.098435041
445,44500000000,44942299600,100000000,61719600,0.093830042
446,44600000000,45003349300,100000000,61049700,0.095292833
447,44700000000,45070749100,100000000,67399800,0.102144167
448,44800000000,45136998600,100000000,66249500,0.099039875
449,44900000000,45199646100,100000000,62647500,0.096565167
450,45000000000,45258349800,100000000,58703700,0.090663292
451,45100000000,45318078800,100000000,59729000,0.091932125
452,45200000000,45376018800,100000000,57940000,0.091992917
453,45300000000,45438164700,100000000,62145900,0.101512292
454,45400000000,45498104700,100000000,59940000,0.094927375
455,45500000000,45558210600,100000000,60105900,0.092436209
456,45600000000,45622302900,100000000,64092300,0.096626750
457,45700000000,45700084000,100000000,77781100,0.112643459
458,45800000000,45799961500,100000000,99877500,0.133590000
459,45900000000,45899976600,100000000,100015100,0.133938583
460,46000000000,46000027800,100000000,100051200,0.133565750
461,46100000000,46100052400,100000000,100024600,0.131769584
462,46200000000,46199958500,100000000,99906100,0.134022791
463,46300000000,46299952900,100000000,99994400,0.134019792
464,46400000000,46400052200,100000000,100099300,0.134001917
465,46500000000,46500030000,100000000,99977800,0.132881166
466,46600000000,46600033400,100000000,100003400,0.134141417
467,46700000000,46700047200,100000000,100013800,0.132680542
468,46800000000,46799963700,100000000,99916500,0.133388000
469,46900000000,46900033200,100000000,100069500,0.133944875
470,47000000000,46999948000,100000000,99914800,0.133291584
471,47100000000,47100029800,100000000,100081800,0.133802417
472,47200000000,47199963500,100000000,99933700,0.133334875
473,47300000000,47299958600,100000000,99995100,0.133460833
474,47400000000,47399954000,100000000,99995400,0.133442125
475,47500000000,47499953100,100000000,99999100,0.133380334
476,47600000000,47600029600,100000000,100076500,0.132502708
477,47700000000,47699971900,100000000,99942300,0.135590625
478,47800000000,47800027200,100000000,100055300,0.133994375
479,47900000000,47899976900,100000000,99949700,0.133837083
480,48000000000,47999954800,100000000,99977900,0.133837541
481,48100000000,48099973200,100000000,100018400,0.133512875
482,48200000000,48199978700,100000000,100005500,0.133825792
483,48300000000,48299963200,100000000,99984500,0.133390292
484,48400000000,48399949800,100000000,99986600,0.134189500
485,48500000000,48500029500,100000000,100079700,0.133933083
486,48600000000,48599956800,100000000,99927300,0.133879333
487,48700000000,48699953500,100000000,99996700,0.133827208
488,48800000000,48799968400,100000000,100014900,0.133783333
489,48900000000,48900030900,100000000,100062500,0.133807625
490,49000000000,49000030100,100000000,99999200,0.133143625
491,49100000000,49099983500,100000000,99953400,0.133210458
492,49200000000,49200085500,100000000,100102000,0.133774959
493,49300000000,49299962200,100000000,99876700,0.134897417
494,49400000000,49399977400,100000000,100015200,0.133954625
495,49500000000,49499950700,100000000,99973300,0.133451542
496,49600000000,49599984800,100000000,100034100,0.133271542
497,49700000000,49699946900,100000000,99962100,0.133438708
498,49800000000,49799947000,100000000,100000100,0.133131166
499,49900000000,49900039500,100000000,100092500,0.133412084
500,50000000000,50000029500,100000000,99990000,0.133661208
501,50100000000,50100022700,100000000,99993200,0.133349000
502,50200000000,50199948200,100000000,99925500,0.133709125
503,50300000000,50299969400,100000000,100021200,0.133666084
504,50400000000,50399947200,100000000,99977800,0.133324500
505,50500000000,50499980000,100000000,100032800,0.133229833
506,50600000000,50599951300,100000000,99971300,0.133134416
507,50700000000,50701811500,100000000,101860200,0.135571542
508,50800000000,50800041100,100000000,98229600,0.131416166
509,50900000000,50899964500,100000000,99923400,0.133740000
510,51000000000,50999965000,100000000,100000500,0.133402208
511,51100000000,51099991600,100000000,100026600,0.133459958
512,51200000000,51199956700,100000000,99965100,0.134109708
513,51300000000,51300047700,100000000,100091000,0.134158500
514,51400000000,51399945600,100000000,99897900,0.133781959
515,51500000000,51499984600,100000000,100039000,0.133294583
516,51600000000,51599954600,100000000,99970000,0.133763083
517,51700000000,51699953400,100000000,99998800,0.133811625
518,51800000000,51799963100,100000000,100009700,0.133863375
519,51900000000,51900048400,100000000,100085300,0.133394416
